ridership_route_code,current_garage,year_month,day_type,on_time_percent,avg_riders,day_count,daily_trip_dist,daily_trip_count,year,month,current_garage_code,day_type_code
015,Ross,201702,WEEKDAY,0.7724,1097,20,332.191,59,2017,02,3,2
015,Ross,201702,SAT.,0.717,805,4,281.575,50,2017,02,3,0
015,Ross,201702,SUN.,0.7083,468,4,180.208,32,2017,02,3,1
016,Ross,201702,WEEKDAY,0.7389,3971,20,988.89,140,2017,02,3,2
016,Ross,201702,SAT.,0.6981,2019,4,649.842,92,2017,02,3,0
016,Ross,201702,SUN.,0.7636,1478,4,508.572,72,2017,02,3,1
017,Ross,201702,WEEKDAY,0.6939,1204,20,496.488,68,2017,02,3,2
017,Ross,201702,SAT.,0.7258,533,4,254.058,42,2017,02,3,0
017,Ross,201702,SUN.,0.665,408,4,241.96,40,2017,02,3,1
018,Ross,201702,WEEKDAY,0.7706,104,20,69.386,23,2017,02,3,2
019L,Ross,201702,WEEKDAY,0.7169,658,20,203.823,21,2017,02,3,2
020,Collier,201702,WEEKDAY,0.7791,590,20,645.519,42,2017,02,0,2
021,Collier,201702,WEEKDAY,0.6962,1261,20,855.713,61,2017,02,0,2
021,Collier,201702,SAT.,0.7219,571,4,541.861,38,2017,02,0,0
021,Collier,201702,SUN.,0.6998,336,4,313.709,22,2017,02,0,1
022,Collier,201702,WEEKDAY,0.7284,801,20,403.121,46,2017,02,0,2
022,Collier,201702,SAT.,0.778,435,4,227.851,26,2017,02,0,0
024,Collier,201702,WEEKDAY,0.6878,1648,20,761.255,60,2017,02,0,2
024,Collier,201702,SAT.,0.7416,1235,4,654.28,44,2017,02,0,0
024,Collier,201702,SUN.,0.7101,886,4,565.06,38,2017,02,0,1
026,Collier,201702,WEEKDAY,0.7615,1028,20,494.542,70,2017,02,0,2
026,Collier,201702,SAT.,0.7566,577,4,254.762,36,2017,02,0,0
026,Collier,201702,SUN.,0.8163,322,4,198.162,28,2017,02,0,1
027,Collier,201702,WEEKDAY,0.7496,1180,20,541.302,66,2017,02,0,2
027,Collier,201702,SAT.,0.7841,632,4,278.09,34,2017,02,0,0
027,Collier,201702,SUN.,0.8262,474,4,262.342,32,2017,02,0,1
028X,East Liberty,201702,WEEKDAY,0.6609,1692,20,1034.02,40,2017,02,1,2
028X,East Liberty,201702,SAT.,0.685,1288,4,1034.02,40,2017,02,1,0
028X,East Liberty,201702,SUN.,0.7818,1119,4,1034.02,40,2017,02,1,1
029,Collier,201702,WEEKDAY,0.6463,872,20,650.898,36,2017,02,0,2
031,Collier,201702,WEEKDAY,0.721,1606,20,815.397,66,2017,02,0,2
031,Collier,201702,SAT.,0.5914,866,4,420.053,34,2017,02,0,0
031,Collier,201702,SUN.,0.7088,592,4,395.344,32,2017,02,0,1
036,Collier,201702,WEEKDAY,0.6205,575,20,425.796,42,2017,02,0,2
038,Collier,201702,WEEKDAY,0.6505,2494,20,1269.159,124,2017,02,0,2
038,Collier,201702,SAT.,0.7683,313,4,269.213,28,2017,02,0,0
038,Collier,201702,SUN.,0.7067,144,4,230.754,24,2017,02,0,1
039,Collier,201702,WEEKDAY,0.7701,1547,20,569.646,84,2017,02,0,2
039,Collier,201702,SAT.,0.6429,237,4,162.756,24,2017,02,0,0
040,Collier,201702,WEEKDAY,0.7795,602,20,272.496,48,2017,02,0,2
040,Collier,201702,SAT.,0.6966,236,4,158.956,28,2017,02,0,0
040,Collier,201702,SUN.,0.7338,173,4,147.602,26,2017,02,0,1
041,Collier,201702,WEEKDAY,0.7041,1785,20,901.854,76,2017,02,0,2
041,Collier,201702,SAT.,0.7752,518,4,427.194,36,2017,02,0,0
041,Collier,201702,SUN.,0.6384,310,4,284.796,24,2017,02,0,1
043,Collier,201702,WEEKDAY,0.6635,736,20,224.642,44,2017,02,0,2
043,Collier,201702,SAT.,0.5398,375,4,183.798,36,2017,02,0,0
043,Collier,201702,SUN.,0.6339,251,4,163.376,32,2017,02,0,1
044,Collier,201702,WEEKDAY,0.7623,1060,20,743.136,64,2017,02,0,2
044,Collier,201702,SAT.,0.7446,307,4,170.52,28,2017,02,0,0
044,Collier,201702,SUN.,0.8214,222,4,170.52,28,2017,02,0,1
048,Collier,201702,WEEKDAY,0.7034,3111,20,538.604,88,2017,02,0,2
048,Collier,201702,SAT.,0.5431,2085,4,452.917,74,2017,02,0,0
048,Collier,201702,SUN.,0.7445,1141,4,269.302,44,2017,02,0,1
051,West Mifflin,201702,WEEKDAY,0.6874,7997,20,1990.938,206,2017,02,4,2
